Date,Close
20-Jan-2020,589.25
21-Jan-2020,584.05
22-Jan-2020,590.65
23-Jan-2020,598.95
24-Jan-2020,607.70
27-Jan-2020,604.35
28-Jan-2020,601.45
29-Jan-2020,608.85
30-Jan-2020,607.85
31-Jan-2020,591.40
01-Feb-2020,590.90
03-Feb-2020,579.10
04-Feb-2020,586.50
05-Feb-2020,595.60
06-Feb-2020,599.70
07-Feb-2020,607.70
10-Feb-2020,604.90
11-Feb-2020,610.65
12-Feb-2020,614.10
13-Feb-2020,612.45
14-Feb-2020,621.65
17-Feb-2020,613.45
18-Feb-2020,607.05
19-Feb-2020,605.75
20-Feb-2020,608.05
24-Feb-2020,595.15
25-Feb-2020,582.45
26-Feb-2020,583.60
27-Feb-2020,573.05
28-Feb-2020,534.35
02-Mar-2020,549.70
03-Mar-2020,565.05
04-Mar-2020,563.10
05-Mar-2020,576.40
06-Mar-2020,566.20
09-Mar-2020,540.45
11-Mar-2020,536.80
12-Mar-2020,493.35
13-Mar-2020,492.90
16-Mar-2020,450.70
17-Mar-2020,450.65
18-Mar-2020,434.25
19-Mar-2020,413.45
20-Mar-2020,444.90
23-Mar-2020,417.15
24-Mar-2020,442.05
25-Mar-2020,457.60
26-Mar-2020,447.70
27-Mar-2020,430.65
30-Mar-2020,419.00
31-Mar-2020,436.40
01-Apr-2020,413.55
03-Apr-2020,405.80
07-Apr-2020,451.15
08-Apr-2020,463.10
09-Apr-2020,469.05
13-Apr-2020,458.25
15-Apr-2020,478.75
16-Apr-2020,459.75
17-Apr-2020,455.25
20-Apr-2020,470.00
21-Apr-2020,455.70
22-Apr-2020,462.40
23-Apr-2020,477.70
24-Apr-2020,468.10
27-Apr-2020,483.10
28-Apr-2020,471.10
29-Apr-2020,491.75
30-Apr-2020,543.55
04-May-2020,514.25
05-May-2020,520.40
06-May-2020,519.10
07-May-2020,511.75
08-May-2020,518.40
11-May-2020,527.55
12-May-2020,527.40
13-May-2020,528.75
14-May-2020,517.45
15-May-2020,511.25
18-May-2020,510.75
19-May-2020,518.25
20-May-2020,526.75
21-May-2020,534.85
22-May-2020,530.40
26-May-2020,524.00
27-May-2020,530.95
28-May-2020,542.65
29-May-2020,550.25
01-Jun-2020,559.75
02-Jun-2020,560.20
03-Jun-2020,562.80
04-Jun-2020,578.95
05-Jun-2020,575.95
08-Jun-2020,578.25
09-Jun-2020,572.85
10-Jun-2020,578.70
11-Jun-2020,578.05
12-Jun-2020,570.75
15-Jun-2020,578.95
16-Jun-2020,580.90
17-Jun-2020,575.85
18-Jun-2020,578.95
19-Jun-2020,569.60
22-Jun-2020,569.60
23-Jun-2020,580.25
24-Jun-2020,559.60
25-Jun-2020,550.05
26-Jun-2020,562.40
29-Jun-2020,553.70
30-Jun-2020,556.85
01-Jul-2020,551.75
02-Jul-2020,569.20
03-Jul-2020,579.15
06-Jul-2020,578.70
07-Jul-2020,592.05
08-Jul-2020,574.90
09-Jul-2020,588.25
10-Jul-2020,582.25
13-Jul-2020,602.60
14-Jul-2020,591.35
15-Jul-2020,615.20
16-Jul-2020,627.75
17-Jul-2020,623.15
20-Jul-2020,648.60
21-Jul-2020,652.35
22-Jul-2020,650.15
23-Jul-2020,652.85
24-Jul-2020,679.95
27-Jul-2020,701.10
28-Jul-2020,712.45
29-Jul-2020,694.40
30-Jul-2020,695.45
31-Jul-2020,705.20
03-Aug-2020,705.95
04-Aug-2020,692.65
05-Aug-2020,688.40
06-Aug-2020,704.90
07-Aug-2020,690.30
10-Aug-2020,692.05
11-Aug-2020,683.80
12-Aug-2020,717.10
13-Aug-2020,724.60
14-Aug-2020,709.10
17-Aug-2020,718.85
18-Aug-2020,714.45
19-Aug-2020,709.85
20-Aug-2020,710.10
21-Aug-2020,705.90
24-Aug-2020,705.70
25-Aug-2020,701.60
26-Aug-2020,712.80
27-Aug-2020,710.15
28-Aug-2020,706.45
31-Aug-2020,694.40
01-Sep-2020,689.60
02-Sep-2020,701.95
03-Sep-2020,706.75
04-Sep-2020,700.80
07-Sep-2020,708.80
08-Sep-2020,725.90
09-Sep-2020,721.95
10-Sep-2020,722.40
11-Sep-2020,721.65
14-Sep-2020,794.95
15-Sep-2020,792.70
16-Sep-2020,789.25
17-Sep-2020,808.30
18-Sep-2020,810.60
21-Sep-2020,802.60
22-Sep-2020,821.00
23-Sep-2020,814.10
24-Sep-2020,788.30
25-Sep-2020,827.70
28-Sep-2020,835.25
29-Sep-2020,812.75
30-Sep-2020,811.60
01-Oct-2020,812.95
05-Oct-2020,824.20
06-Oct-2020,829.15
07-Oct-2020,828.05
08-Oct-2020,849.55
09-Oct-2020,855.75
12-Oct-2020,865.80
13-Oct-2020,900.40
14-Oct-2020,890.45
15-Oct-2020,860.00
16-Oct-2020,827.15
19-Oct-2020,844.75
20-Oct-2020,879.65
21-Oct-2020,871.05
22-Oct-2020,866.25
23-Oct-2020,852.45
26-Oct-2020,847.80
27-Oct-2020,847.25
28-Oct-2020,829.60
29-Oct-2020,840.05
30-Oct-2020,841.95
02-Nov-2020,822.40
03-Nov-2020,814.05
04-Nov-2020,815.15
05-Nov-2020,842.90
06-Nov-2020,850.10
09-Nov-2020,855.00
10-Nov-2020,809.70
11-Nov-2020,826.05
12-Nov-2020,824.70
13-Nov-2020,828.10
14-Nov-2020,830.50
17-Nov-2020,815.00
18-Nov-2020,814.30
19-Nov-2020,804.55
20-Nov-2020,819.25
23-Nov-2020,839.20
24-Nov-2020,840.50
25-Nov-2020,824.70
