Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MINDTREE,EQ,20-Jan-2020,883.55,884.00,896.00,879.20,896.00,892.75,889.42,651190,579182355.30,14842,112534,17.28
MINDTREE,EQ,21-Jan-2020,892.75,890.10,907.25,885.20,896.10,897.75,898.29,725781,651965248.30,12702,119020,16.40
MINDTREE,EQ,22-Jan-2020,897.75,898.00,917.90,897.80,905.40,906.25,911.90,1191022,1086088491.55,24517,204874,17.20
MINDTREE,EQ,23-Jan-2020,906.25,910.00,919.05,895.00,898.35,900.75,901.85,899877,811557358.25,21417,238129,26.46
MINDTREE,EQ,24-Jan-2020,900.75,902.00,902.15,889.10,892.85,892.75,895.26,421059,376958708.10,12023,81065,19.25
MINDTREE,EQ,27-Jan-2020,892.75,897.20,907.70,881.10,885.05,885.05,897.35,574163,515227375.05,12027,94857,16.52
MINDTREE,EQ,28-Jan-2020,885.05,890.50,894.95,873.65,875.45,876.00,882.37,402413,355076207.45,12107,73425,18.25
MINDTREE,EQ,29-Jan-2020,876.00,880.45,888.80,879.00,886.60,886.55,885.40,256337,226960563.30,5326,35008,13.66
MINDTREE,EQ,30-Jan-2020,886.55,887.60,898.00,881.60,885.00,888.10,891.43,550539,490766749.45,10574,117337,21.31
MINDTREE,EQ,31-Jan-2020,888.10,892.75,903.20,878.70,886.00,887.90,891.54,476824,425107957.65,8716,116810,24.50
MINDTREE,EQ,01-Feb-2020,887.90,892.35,911.90,867.20,884.55,883.15,887.62,580746,515484372.95,11527,115153,19.83
MINDTREE,EQ,03-Feb-2020,883.15,879.00,909.90,868.15,905.50,902.75,902.30,775253,699514415.35,17213,203650,26.27
MINDTREE,EQ,04-Feb-2020,902.75,906.00,917.05,901.10,909.20,907.60,907.98,441990,401317039.35,9813,67473,15.27
MINDTREE,EQ,05-Feb-2020,907.60,916.00,919.85,902.45,909.15,909.75,910.70,478671,435923477.65,8826,129802,27.12
MINDTREE,EQ,06-Feb-2020,909.75,910.95,949.80,898.00,900.00,902.35,929.34,1466545,1362914617.00,27159,179390,12.23
MINDTREE,EQ,07-Feb-2020,902.35,902.00,925.95,891.35,923.75,921.80,915.80,721937,661148370.40,14544,79606,11.03
MINDTREE,EQ,10-Feb-2020,921.80,922.00,931.10,903.35,923.85,920.30,914.93,535026,489511370.45,10618,125596,23.47
MINDTREE,EQ,11-Feb-2020,920.30,924.00,932.00,915.35,926.00,926.95,926.03,491450,455095050.10,9795,129290,26.31
MINDTREE,EQ,12-Feb-2020,926.95,922.00,936.70,918.50,921.00,922.85,928.18,326524,303072416.90,6609,77171,23.63
MINDTREE,EQ,13-Feb-2020,922.85,928.60,940.00,916.00,938.00,936.55,929.31,411411,382327610.45,9818,63783,15.50
MINDTREE,EQ,14-Feb-2020,936.55,942.40,973.70,938.00,959.00,959.90,963.16,1948747,1876948664.75,38929,243135,12.48
MINDTREE,EQ,17-Feb-2020,959.90,965.85,996.40,956.20,987.00,981.95,979.27,1374753,1346258929.10,25506,145145,10.56
MINDTREE,EQ,18-Feb-2020,981.95,985.45,1000.70,982.80,999.00,997.00,993.36,1165787,1158042729.80,27548,144727,12.41
MINDTREE,EQ,19-Feb-2020,997.00,1002.00,1021.65,997.45,1008.05,1013.60,1011.06,1152908,1165655563.40,29269,272618,23.65
MINDTREE,EQ,20-Feb-2020,1013.60,1017.40,1055.55,1004.60,1042.50,1049.50,1035.18,1560504,1615402939.15,50369,505086,32.37
MINDTREE,EQ,24-Feb-2020,1049.50,1044.80,1049.00,1010.15,1017.00,1015.55,1031.59,586531,605056672.10,20160,134969,23.01
MINDTREE,EQ,25-Feb-2020,1015.55,1008.20,1062.80,1008.20,1055.00,1050.30,1046.93,2384002,2495882318.10,58028,269871,11.32
MINDTREE,EQ,26-Feb-2020,1050.30,1045.00,1050.00,1018.25,1024.00,1029.40,1033.41,1158438,1197146702.65,33158,405257,34.98
MINDTREE,EQ,27-Feb-2020,1029.40,995.00,1011.00,979.70,982.50,985.70,992.34,2419428,2400899568.80,68387,399137,16.50
MINDTREE,EQ,28-Feb-2020,985.70,955.00,990.00,926.40,975.00,944.00,937.59,1639111,1536806899.45,37522,498353,30.40
MINDTREE,EQ,02-Mar-2020,944.00,936.00,1033.70,936.00,997.55,998.10,974.72,1435593,1399305659.80,29493,177721,12.38
MINDTREE,EQ,03-Mar-2020,998.10,1005.00,1021.00,954.00,988.00,989.05,980.84,1701580,1668969241.35,43478,299070,17.58
MINDTREE,EQ,04-Mar-2020,989.05,991.00,999.00,969.05,989.00,990.50,981.92,1086975,1067318305.85,30486,246726,22.70
MINDTREE,EQ,05-Mar-2020,990.50,995.50,1007.90,956.65,957.25,961.60,976.93,732857,715951690.90,19349,182985,24.97
MINDTREE,EQ,06-Mar-2020,961.60,945.55,985.00,918.50,972.20,977.60,953.31,962385,917452240.65,21169,180557,18.76
MINDTREE,EQ,09-Mar-2020,977.60,950.10,954.45,874.85,904.00,905.15,903.67,1756008,1586860133.95,37887,370361,21.09
MINDTREE,EQ,11-Mar-2020,905.15,900.00,912.80,868.00,904.00,891.10,888.49,897321,797259197.65,27238,136561,15.22
MINDTREE,EQ,12-Mar-2020,891.10,821.00,844.95,800.25,801.15,816.00,825.40,693604,572500712.20,16267,131429,18.95
MINDTREE,EQ,13-Mar-2020,816.00,735.00,889.50,700.15,865.25,859.55,817.16,534240,436557003.55,20688,72758,13.62
MINDTREE,EQ,16-Mar-2020,859.55,800.20,878.25,771.45,815.00,831.95,804.30,808198,650036889.60,25807,240675,29.78
MINDTREE,EQ,17-Mar-2020,831.95,829.90,880.00,808.50,865.55,853.00,837.28,807339,675965892.10,16835,329641,40.83
MINDTREE,EQ,18-Mar-2020,853.00,854.00,854.20,781.95,786.00,804.30,822.46,889460,731547158.55,28753,301533,33.90
MINDTREE,EQ,19-Mar-2020,804.30,750.00,776.20,703.05,723.90,720.50,730.54,841067,614432413.40,25070,188371,22.40
MINDTREE,EQ,20-Mar-2020,720.50,712.50,893.45,711.00,841.95,842.45,799.91,1456657,1165187575.45,47000,131703,9.04
