Date,Close
20-Jan-2020,195.00
21-Jan-2020,191.40
22-Jan-2020,185.60
23-Jan-2020,188.40
24-Jan-2020,186.50
27-Jan-2020,182.20
28-Jan-2020,176.10
29-Jan-2020,188.05
30-Jan-2020,186.20
31-Jan-2020,176.60
01-Feb-2020,165.60
03-Feb-2020,163.85
04-Feb-2020,165.70
05-Feb-2020,183.75
06-Feb-2020,178.85
07-Feb-2020,173.60
10-Feb-2020,168.90
11-Feb-2020,169.75
12-Feb-2020,170.95
13-Feb-2020,169.50
14-Feb-2020,169.10
17-Feb-2020,169.10
18-Feb-2020,161.60
19-Feb-2020,158.05
20-Feb-2020,158.50
24-Feb-2020,150.65
25-Feb-2020,149.90
26-Feb-2020,144.55
27-Feb-2020,145.25
28-Feb-2020,128.95
02-Mar-2020,125.40
03-Mar-2020,130.35
04-Mar-2020,126.20
05-Mar-2020,125.75
06-Mar-2020,114.20
09-Mar-2020,105.70
11-Mar-2020,98.90
12-Mar-2020,88.00
13-Mar-2020,89.75
16-Mar-2020,82.95
17-Mar-2020,77.95
18-Mar-2020,75.50
19-Mar-2020,72.95
20-Mar-2020,77.30
23-Mar-2020,66.20
24-Mar-2020,68.55
25-Mar-2020,70.25
26-Mar-2020,70.80
27-Mar-2020,70.70
30-Mar-2020,68.15
31-Mar-2020,71.05
01-Apr-2020,67.95
03-Apr-2020,65.30
07-Apr-2020,67.25
08-Apr-2020,67.60
09-Apr-2020,74.60
13-Apr-2020,74.25
15-Apr-2020,72.90
16-Apr-2020,74.65
17-Apr-2020,76.85
20-Apr-2020,80.45
21-Apr-2020,74.65
22-Apr-2020,75.90
23-Apr-2020,75.65
24-Apr-2020,74.20
27-Apr-2020,75.25
28-Apr-2020,76.95
29-Apr-2020,78.15
30-Apr-2020,93.25
04-May-2020,83.90
05-May-2020,80.90
06-May-2020,83.20
07-May-2020,82.50
08-May-2020,81.05
11-May-2020,86.10
12-May-2020,86.20
13-May-2020,87.20
14-May-2020,83.80
15-May-2020,84.35
18-May-2020,80.65
19-May-2020,81.80
20-May-2020,83.45
21-May-2020,84.10
22-May-2020,82.80
26-May-2020,83.10
27-May-2020,84.55
28-May-2020,87.00
29-May-2020,87.00
01-Jun-2020,89.55
02-Jun-2020,96.50
03-Jun-2020,98.75
04-Jun-2020,98.50
05-Jun-2020,110.75
08-Jun-2020,115.45
09-Jun-2020,111.45
10-Jun-2020,111.40
11-Jun-2020,106.15
12-Jun-2020,105.30
15-Jun-2020,100.50
16-Jun-2020,94.75
17-Jun-2020,95.40
18-Jun-2020,96.35
19-Jun-2020,102.50
22-Jun-2020,102.65
23-Jun-2020,104.40
24-Jun-2020,104.80
25-Jun-2020,103.80
26-Jun-2020,101.40
29-Jun-2020,99.45
30-Jun-2020,98.25
01-Jul-2020,100.75
02-Jul-2020,101.55
03-Jul-2020,103.45
06-Jul-2020,109.00
07-Jul-2020,109.05
08-Jul-2020,105.35
09-Jul-2020,106.95
10-Jul-2020,107.60
13-Jul-2020,108.00
14-Jul-2020,105.15
15-Jul-2020,103.20
16-Jul-2020,102.95
17-Jul-2020,106.40
20-Jul-2020,105.05
21-Jul-2020,108.45
22-Jul-2020,105.15
23-Jul-2020,106.05
24-Jul-2020,103.75
27-Jul-2020,101.70
28-Jul-2020,106.45
29-Jul-2020,105.75
30-Jul-2020,103.65
31-Jul-2020,104.65
03-Aug-2020,113.05
04-Aug-2020,111.45
05-Aug-2020,115.40
06-Aug-2020,116.80
07-Aug-2020,119.10
10-Aug-2020,123.85
11-Aug-2020,122.30
12-Aug-2020,125.35
13-Aug-2020,131.15
14-Aug-2020,124.60
17-Aug-2020,123.55
18-Aug-2020,125.60
19-Aug-2020,125.15
20-Aug-2020,121.70
21-Aug-2020,120.90
24-Aug-2020,121.20
25-Aug-2020,127.10
26-Aug-2020,137.90
27-Aug-2020,144.25
28-Aug-2020,142.80
31-Aug-2020,143.20
01-Sep-2020,143.80
02-Sep-2020,150.30
03-Sep-2020,151.85
04-Sep-2020,147.80
07-Sep-2020,149.40
08-Sep-2020,142.30
09-Sep-2020,140.10
10-Sep-2020,143.30
11-Sep-2020,144.30
14-Sep-2020,148.55
15-Sep-2020,148.40
16-Sep-2020,151.45
17-Sep-2020,147.65
18-Sep-2020,147.90
21-Sep-2020,137.45
22-Sep-2020,133.10
23-Sep-2020,131.40
24-Sep-2020,122.80
25-Sep-2020,127.25
28-Sep-2020,132.85
29-Sep-2020,131.70
30-Sep-2020,133.30
01-Oct-2020,133.50
05-Oct-2020,133.90
06-Oct-2020,144.75
07-Oct-2020,141.00
08-Oct-2020,140.95
09-Oct-2020,138.45
12-Oct-2020,135.90
13-Oct-2020,134.10
14-Oct-2020,130.70
15-Oct-2020,126.95
16-Oct-2020,127.75
19-Oct-2020,128.25
20-Oct-2020,129.65
21-Oct-2020,130.25
22-Oct-2020,133.50
23-Oct-2020,137.00
26-Oct-2020,133.70
27-Oct-2020,135.65
28-Oct-2020,134.80
29-Oct-2020,131.90
30-Oct-2020,132.65
02-Nov-2020,132.85
03-Nov-2020,134.10
04-Nov-2020,135.90
05-Nov-2020,137.65
06-Nov-2020,139.00
09-Nov-2020,141.00
10-Nov-2020,146.00
11-Nov-2020,150.95
12-Nov-2020,151.20
13-Nov-2020,146.35
14-Nov-2020,148.85
17-Nov-2020,158.00
18-Nov-2020,173.50
19-Nov-2020,167.95
20-Nov-2020,169.10
23-Nov-2020,170.70
24-Nov-2020,172.05
25-Nov-2020,171.45
26-Nov-2020,173.75
27-Nov-2020,180.35
01-Dec-2020,179.75
02-Dec-2020,183.60
03-Dec-2020,184.85
04-Dec-2020,184.15
07-Dec-2020,183.55
08-Dec-2020,181.80
09-Dec-2020,182.70
10-Dec-2020,177.60
11-Dec-2020,178.85
14-Dec-2020,177.65
15-Dec-2020,178.90
16-Dec-2020,182.55
17-Dec-2020,181.70
18-Dec-2020,180.55
21-Dec-2020,164.55
22-Dec-2020,164.95
23-Dec-2020,169.20
24-Dec-2020,175.95
28-Dec-2020,186.35
29-Dec-2020,183.45
30-Dec-2020,184.15
31-Dec-2020,183.85
01-Jan-2021,186.50
04-Jan-2021,191.30
05-Jan-2021,193.20
06-Jan-2021,195.40
07-Jan-2021,196.75
08-Jan-2021,198.15
11-Jan-2021,220.65
12-Jan-2021,237.80
13-Jan-2021,242.60
14-Jan-2021,245.10
15-Jan-2021,260.30
