Date,Close
20-Jan-2020,248.00
21-Jan-2020,247.10
22-Jan-2020,245.85
23-Jan-2020,248.70
24-Jan-2020,247.60
27-Jan-2020,245.35
28-Jan-2020,244.05
29-Jan-2020,246.75
30-Jan-2020,240.70
31-Jan-2020,236.80
01-Feb-2020,236.80
03-Feb-2020,237.40
04-Feb-2020,240.25
05-Feb-2020,242.25
06-Feb-2020,243.65
07-Feb-2020,243.95
10-Feb-2020,240.90
11-Feb-2020,241.25
12-Feb-2020,244.45
13-Feb-2020,243.75
14-Feb-2020,242.90
17-Feb-2020,243.80
18-Feb-2020,244.05
19-Feb-2020,247.60
20-Feb-2020,245.70
24-Feb-2020,244.20
25-Feb-2020,244.10
26-Feb-2020,239.90
27-Feb-2020,231.60
28-Feb-2020,221.45
02-Mar-2020,220.80
03-Mar-2020,223.70
04-Mar-2020,228.85
05-Mar-2020,229.70
06-Mar-2020,223.55
09-Mar-2020,214.40
11-Mar-2020,213.10
12-Mar-2020,199.10
13-Mar-2020,197.40
16-Mar-2020,179.75
17-Mar-2020,173.10
18-Mar-2020,169.95
19-Mar-2020,162.35
20-Mar-2020,179.20
23-Mar-2020,170.15
24-Mar-2020,176.35
25-Mar-2020,174.65
26-Mar-2020,182.60
27-Mar-2020,183.50
30-Mar-2020,184.15
31-Mar-2020,196.70
01-Apr-2020,189.50
03-Apr-2020,180.00
07-Apr-2020,191.90
08-Apr-2020,192.90
09-Apr-2020,196.70
13-Apr-2020,189.20
15-Apr-2020,186.55
16-Apr-2020,187.85
17-Apr-2020,187.00
20-Apr-2020,181.10
21-Apr-2020,178.05
22-Apr-2020,178.55
23-Apr-2020,180.90
24-Apr-2020,177.75
27-Apr-2020,182.05
28-Apr-2020,179.70
29-Apr-2020,180.65
30-Apr-2020,190.95
04-May-2020,190.05
05-May-2020,184.20
06-May-2020,187.05
07-May-2020,184.10
08-May-2020,184.00
11-May-2020,184.70
12-May-2020,187.05
13-May-2020,189.70
14-May-2020,186.00
15-May-2020,183.80
18-May-2020,182.20
19-May-2020,184.40
20-May-2020,184.95
21-May-2020,189.10
22-May-2020,189.00
26-May-2020,188.80
27-May-2020,201.25
28-May-2020,199.35
29-May-2020,212.80
01-Jun-2020,215.05
02-Jun-2020,215.85
03-Jun-2020,211.35
04-Jun-2020,216.25
05-Jun-2020,218.75
08-Jun-2020,226.45
09-Jun-2020,218.35
10-Jun-2020,217.00
11-Jun-2020,212.90
12-Jun-2020,207.90
15-Jun-2020,213.80
16-Jun-2020,212.40
17-Jun-2020,217.80
18-Jun-2020,218.15
19-Jun-2020,222.05
22-Jun-2020,218.05
23-Jun-2020,220.60
24-Jun-2020,218.20
25-Jun-2020,218.20
26-Jun-2020,225.45
29-Jun-2020,219.70
30-Jun-2020,219.65
01-Jul-2020,219.05
02-Jul-2020,224.20
03-Jul-2020,224.80
06-Jul-2020,222.65
07-Jul-2020,224.90
08-Jul-2020,223.10
09-Jul-2020,221.60
10-Jul-2020,222.10
13-Jul-2020,227.60
14-Jul-2020,225.00
15-Jul-2020,262.75
16-Jul-2020,261.90
17-Jul-2020,261.35
20-Jul-2020,270.80
21-Jul-2020,271.35
22-Jul-2020,266.00
23-Jul-2020,266.60
24-Jul-2020,270.55
27-Jul-2020,268.85
28-Jul-2020,275.45
29-Jul-2020,277.00
30-Jul-2020,284.10
31-Jul-2020,280.95
03-Aug-2020,281.55
04-Aug-2020,281.05
05-Aug-2020,278.20
06-Aug-2020,279.65
